id,stationName,availableDocks,totalDocks,latitude,longitude,statusValue,statusKey,availableBikes,stAddress1,testStation,lastCommunicationTime
247,Perry St & Bleecker St,9,20,40.73535398,-74.00483091,In Service,1,11,Perry St & Bleecker St,False,2016-01-22 16:31:53
248,Laight St & Hudson St,10,23,40.72185379,-74.00771779,In Service,1,12,Laight St & Hudson St,False,2016-01-22 16:32:38
249,Harrison St & Hudson St,2,27,40.71870987,-74.0090009,In Service,1,25,Harrison St & Hudson St,False,2016-01-22 16:28:57
250,Lafayette St & Jersey St,2,40,40.72456089,-73.99565293,In Service,1,35,Lafayette St & Jersey St,False,2016-01-22 16:29:11
251,Mott St & Prince St,23,27,40.72317958,-73.99480012,In Service,1,2,Mott St & Prince St,False,2016-01-22 16:32:19
252,MacDougal St & Washington Sq,31,33,40.73226398,-73.99852205,In Service,1,2,MacDougal St & Washington Sq,False,2016-01-22 16:31:38
253,W 13 St & 5 Ave,39,55,40.73543934,-73.99453948,In Service,1,13,W 13 St & 5 Ave,False,2016-01-22 16:30:37
254,W 11 St & 6 Ave,25,31,40.73532427,-73.99800419,In Service,1,6,W 11 St & 6 Ave,False,2016-01-22 16:30:27
257,Lispenard St & Broadway,4,39,40.71939226,-74.00247214,In Service,1,33,Lispenard St & Broadway,False,2016-01-22 16:32:12
258,DeKalb Ave & Vanderbilt Ave,23,23,40.68940747,-73.96885458,In Service,1,0,DeKalb Ave & Vanderbilt Ave,False,2016-01-22 16:32:05
259,South St & Whitehall St,4,39,40.70122128,-74.01234218,In Service,1,35,South St & Whitehall St,False,2016-01-22 16:31:12
260,Broad St & Bridge St,10,35,40.70365182,-74.01167797,In Service,1,25,Broad St & Bridge St,False,2016-01-22 16:30:24
261,Johnson St & Gold St,14,27,40.69474881,-73.98362464,In Service,1,13,Johnson St & Gold St,False,2016-01-22 16:30:52
262,Washington Park,23,24,40.6917823,-73.9737299,In Service,1,1,Washington Park,False,2016-01-22 16:29:34
263,Elizabeth St & Hester St,31,31,40.71729,-73.996375,In Service,1,0,Elizabeth St & Hester St,False,2016-01-22 16:32:42
264,Maiden Ln & Pearl St,3,27,40.70706456,-74.00731853,In Service,1,24,Maiden Ln & Pearl St,False,2016-01-22 16:32:19
265,Stanton St & Chrystie St,24,35,40.72229346,-73.99147535,In Service,1,10,Stanton St & Chrystie St,False,2016-01-22 16:32:27
266,Avenue D & E 8 St,22,24,40.72368361,-73.97574813,In Service,1,2,Avenue D & E 8 St,False,2016-01-22 16:32:24
267,Broadway & W 36 St,56,57,40.75097711,-73.98765428,In Service,1,1,Broadway & W 36 St,False,2016-01-22 16:32:27
268,Howard St & Centre St,2,27,40.71910537,-73.99973337,In Service,1,25,Howard St & Centre St,False,2016-01-22 16:31:05
270,Adelphi St & Myrtle Ave,17,23,40.69308257,-73.97178913,In Service,1,5,Adelphi St & Myrtle Ave,False,2016-01-22 16:29:18
274,Lafayette Ave & Fort Greene Pl,11,31,40.68691865,-73.976682,In Service,1,20,Lafayette Ave & Fort Greene Pl,False,2016-01-22 16:30:25
275,Washington Ave & Greene Ave,16,19,40.68650065,-73.96563307,In Service,1,3,Washington Ave & Greene Ave,False,2016-01-22 16:31:51
276,Duane St & Greenwich St,2,25,40.71748752,-74.0104554,In Service,1,22,Duane St & Greenwich St,False,2016-01-22 16:30:57
278,Concord St & Bridge St,8,19,40.69766564,-73.98476437,In Service,1,10,Concord St & Bridge St,False,2016-01-22 16:31:17
279,Peck Slip & Front St,13,36,40.707873,-74.00167,In Service,1,23,Peck Slip & Front St,False,2016-01-22 16:29:22
280,E 10 St & 5 Ave,10,31,40.73331967,-73.99510132,In Service,1,20,E 10 St & 5 Ave,False,2016-01-22 16:32:37
281,Grand Army Plaza & Central Park S,33,59,40.7643971,-73.97371465,In Service,1,26,Grand Army Plaza & Central Park S,False,2016-01-22 16:29:55
282,Kent Ave & S 11 St,23,27,40.70827295,-73.96834101,In Service,1,4,Kent Ave & S 11 St,False,2016-01-22 16:31:08
